formula   X_a0      X_b1      Z_a2      Z_b3      IE_a4     IE_b5     EA_a6     EA_b7     r_A8      r_B9      vale_A10  vale_B11  cr.r_A12  cr.r_B13  mb.x_A14  mb.x_B15  s_A16     p_A17     d_A18     f_A19     s_B20     p_B21     d_B22     f_B23     random24  random25  topoY     
TlSb      1.62      2.05      81        51        6.10829   8.60839   0.32005   1.0474    1.9       1.45      3         5         2.235     2.235     1.69      1.69      2         1         10        14        2         3         10        0         0.098976  0.659069  0         
SrSi      0.95      1.9       38        14        5.69487   8.15168   0.05207   1.38952   2.0       1.1       2         4         3.21      3.21      1.13      1.13      2         0         0         0         2         2         0         0         0.672014  0.612222  0         
SiOs      1.9       2.2       14        76        8.15168   8.43823   1.38952   1.0778    1.1       1.3       4         8         1.42      1.42      1.98      1.98      2         2         0         0         2         0         6         14        0.36456   0.441206  0         
TlI       1.62      2.66      81        53        6.10829   10.45126  0.32005   3.05905   1.9       1.4       3         7         2.235     2.235     1.69      1.69      2         1         10        14        2         5         10        0         0.212646  0.878408  0         
ThC       1.3       2.55      90        6         6.3067    11.26029  1.17      1.26211   1.8       0.7       3         4         4.98      4.98      1.3       1.3       2         0         2         0         2         2         0         0         0.848424  0.076839  1         
RbCl      0.82      3.16      37        17        4.17713   12.96763  0.48592   3.61273   2.35      1.0       1         7         4.10      4.10      0.80      0.80      1         0         0         0         2         5         0         0         0.2601    0.053729  0         
RbBr      0.82      2.96      37        35        4.17713   11.81381  0.48592   3.36359   2.35      1.15      1         7         4.10      4.10      0.80      0.80      1         0         0         0         2         5         10        0         0.103677  0.234667  0         
RbAu      0.82      2.54      37        79        4.17713   9.22555   0.48592   2.30861   2.35      1.35      1         11        4.10      4.10      0.80      0.80      1         0         0         0         1         0         10        14        0.022874  0.31967   0         
LaIn      1.1       1.78      57        49        5.5769    5.78636   0.55755   0.38393   1.95      1.55      3         3         3.08      3.08      1.35      1.35      2         0         1         0         2         1         10        0         0.66631   0.237313  0         
TiPt      1.54      2.28      22        78        6.82812   8.95883   0.07555   2.12511   1.4       1.35      4         10        2.58      2.58      1.86      1.86      2         0         2         0         1         0         9         14        0.898854  0.605971  0         
DyAs      1.22      2.18      66        33        5.93905   9.78855   0.352     0.80482   1.75      1.15      3         5         3.67      3.67      1.15      1.15      2         0         0         10        2         3         10        0         0.630016  0.60872   0         
ZnNi      1.65      1.91      30        28        9.3942    7.63988   -0.62     1.15716   1.35      1.35      12        10        1.88      1.88      1.44      1.44      2         0         10        0         2         0         8         0         0.230822  0.158488  0         
ZrZn      1.33      1.65      40        30        6.63413   9.3942    0.43329   -0.62     1.55      1.35      4         12        2.825     2.825     1.70      1.70      2         0         2         0         2         0         10        0         0.770017  0.56658   0         
TmRh      1.25      2.28      69        45        6.18431   7.4589    1.02922   1.14289   1.75      1.35      3         9         3.60      3.60      1.2       1.2       2         0         0         13        1         0         8         0         0.424796  0.473788  1         
PrBi      1.13      2.02      59        83        5.4702    7.28552   0.10923   0.94236   1.85      1.6       3         5         4.48      4.48      1.1       1.1       2         0         0         3         2         3         10        14        0.667412  0.965803  0         
ErAs      1.24      2.18      68        33        6.1077    9.78855   0.312     0.80482   1.75      1.15      3         5         3.63      3.63      1.2       1.2       2         0         0         12        2         3         10        0         0.365588  0.78014   0         
DyP       1.22      2.19      66        15        5.93905   10.48669  0.352     0.74661   1.75      1.0       3         5         3.67      3.67      1.15      1.15      2         0         0         10        2         3         0         0         0.849469  0.468436  0         
TiOs      1.54      2.2       22        76        6.82812   8.43823   0.07555   1.0778    1.4       1.3       4         8         2.58      2.58      1.86      1.86      2         0         2         0         2         0         6         14        0.495135  0.888768  0         
NaCl      0.93      3.16      11        17        5.13908   12.96763  0.54793   3.61273   1.8       1.0       1         7         2.65      2.65      0.89      0.89      1         0         0         0         2         5         0         0         0.940633  0.872114  0         
HoBi      1.23      2.02      67        83        6.0215    7.28552   0.338     0.94236   1.75      1.6       3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         10        14        0.667214  0.371998  0         
DySb      1.22      2.05      66        51        5.93905   8.60839   0.352     1.0474    1.75      1.45      3         5         3.67      3.67      1.15      1.15      2         0         0         10        2         3         10        0         0.565504  0.043174  0         
YCu       1.22      1.9       39        29        6.21726   7.72638   0.30712   1.23578   1.8       1.35      3         11        2.94      2.94      1.41      1.41      2         0         1         0         1         0         10        0         0.562359  0.070848  0         
YAg       1.22      1.93      39        47        6.21726   7.57623   0.30712   1.30447   1.8       1.6       3         11        2.94      2.94      1.41      1.41      2         0         1         0         1         0         10        0         0.704102  0.942408  0         
ZrOs      1.33      2.2       40        76        6.63413   8.43823   0.43329   1.0778    1.55      1.3       4         8         2.825     2.825     1.70      1.70      2         0         2         0         2         0         6         14        0.669737  0.072484  1         
CsI       0.79      2.66      55        53        3.89391   10.45126  0.47163   3.05905   2.6       1.4       1         7         4.31      4.31      0.77      0.77      1         0         0         0         2         5         10        0         0.4969    0.189995  0         
TiFe      1.54      1.83      22        26        6.82812   7.90247   0.07555   0.15324   1.4       1.4       4         8         2.58      2.58      1.86      1.86      2         0         2         0         2         0         6         0         0.5389    0.685301  1         
YSb       1.22      2.05      39        51        6.21726   8.60839   0.30712   1.0474    1.8       1.45      3         5         2.94      2.94      1.41      1.41      2         0         1         0         2         3         10        0         0.542144  0.332748  0         
IN        2.66      3.04      53        7         10.45126  14.53413  3.05905   -0.07     1.4       0.65      7         5         1.585     1.585     2.76      2.76      2         5         10        0         2         3         0         0         0.052155  0.778558  0         
AlAu      1.61      2.54      13        79        5.98577   9.22555   0.43284   2.30861   1.25      1.35      3         11        1.675     1.675     1.64      1.64      2         1         0         0         1         0         10        14        0.789133  0.290773  1         
PuRu      1.28      2.2       94        44        6.02576   7.3605    -0.5      1.04638   1.75      1.3       3         8         4.91      4.91      1.3       1.3       2         0         0         6         1         0         7         0         0.448361  0.518382  0         
InSb      1.78      2.05      49        51        5.78636   8.60839   0.38393   1.0474    1.55      1.45      3         5         2.05      2.05      1.63      1.63      2         1         10        0         2         3         10        0         0.330454  0.804353  0         
HoAu      1.23      2.54      67        79        6.0215    9.22555   0.338     2.30861   1.75      1.35      3         11        3.65      3.65      1.2       1.2       2         0         0         11        1         0         10        14        0.015103  0.432364  0         
TmAg      1.25      1.93      69        47        6.18431   7.57623   1.02922   1.30447   1.75      1.6       3         11        3.60      3.60      1.2       1.2       2         0         0         13        1         0         10        0         0.598518  0.168649  0         
YbHg      1.1       2.0       70        80        6.25416   10.4375   -0.02     -0.52     1.75      1.5       3         12        3.59      3.59      1.1       1.1       2         0         0         14        2         0         10        14        0.762214  0.860879  0         
YbPd      1.1       2.2       70        46        6.25416   8.33684   -0.02     0.56214   1.75      1.4       3         10        3.59      3.59      1.1       1.1       2         0         0         14        0         0         10        0         0.045336  0.128547  1         
ScP       1.36      2.19      21        15        6.56149   10.48669  0.1882    0.74661   1.6       1.0       3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         0         0         0.733603  0.54017   0         
SmCu      1.17      1.9       62        29        5.64371   7.72638   0.162     1.23578   1.85      1.35      3         11        4.14      4.14      1.2       1.2       2         0         0         6         1         0         10        0         0.50004   0.044492  0         
SnTe      1.96      2.1       50        52        7.34392   9.00981   1.11207   1.97088   1.45      1.4       4         6         1.88      1.88      1.88      1.88      2         2         10        0         2         4         10        0         0.616245  0.208493  1         
PrAl      1.13      1.61      59        13        5.4702    5.98577   0.10923   0.43284   1.85      1.25      3         3         4.48      4.48      1.1       1.1       2         0         0         3         2         1         0         0         0.390076  0.595827  0         
YbZn      1.1       1.65      70        30        6.25416   9.3942    -0.02     -0.62     1.75      1.35      3         12        3.59      3.59      1.1       1.1       2         0         0         14        2         0         10        0         0.853635  0.822854  0         
NdAl      1.14      1.61      60        13        5.525     5.98577   0.09749   0.43284   1.85      1.25      3         3         3.99      3.99      1.2       1.2       2         0         0         4         2         1         0         0         0.068762  0.854238  0         
LuIr      1.27      2.2       71        77        5.42587   8.96702   0.23887   1.56436   1.75      1.35      3         9         3.37      3.37      1.2       1.2       2         0         1         14        2         0         7         14        0.310094  0.022638  1         
PrAu      1.13      2.54      59        79        5.4702    9.22555   0.10923   2.30861   1.85      1.35      3         11        4.48      4.48      1.1       1.1       2         0         0         3         1         0         10        14        0.448087  0.672358  0         
ScAu      1.36      2.54      21        79        6.56149   9.22555   0.1882    2.30861   1.6       1.35      3         11        2.75      2.75      1.50      1.50      2         0         1         0         1         0         10        14        0.073214  0.321554  0         
CaHg      1.0       2.0       20        80        6.11316   10.4375   0.02455   -0.52     1.8       1.5       2         12        3.00      3.00      1.17      1.17      2         0         0         0         2         0         10        14        0.330103  0.835726  0         
ErCu      1.24      1.9       68        29        6.1077    7.72638   0.312     1.23578   1.75      1.35      3         11        3.63      3.63      1.2       1.2       2         0         0         12        1         0         10        0         0.891196  0.554125  0         
DyTl      1.22      1.62      66        81        5.93905   6.10829   0.352     0.32005   1.75      1.9       3         3         3.67      3.67      1.15      1.15      2         0         0         10        2         1         10        14        0.246098  0.613767  0         
ScRh      1.36      2.28      21        45        6.56149   7.4589    0.1882    1.14289   1.6       1.35      3         9         2.75      2.75      1.50      1.50      2         0         1         0         1         0         8         0         0.052179  0.77487   1         
TbAg      1.1       1.93      65        47        5.8638    7.57623   0.13132   1.30447   1.75      1.6       3         11        3.89      3.89      1.2       1.2       2         0         0         9         1         0         10        0         0.391231  0.97799   0         
ZrRu      1.33      2.2       40        44        6.63413   7.3605    0.43329   1.04638   1.55      1.3       4         8         2.825     2.825     1.70      1.70      2         0         2         0         1         0         7         0         0.666828  0.979554  1         
NpAs      1.36      2.18      93        33        6.26554   9.78855   0.48      0.80482   1.75      1.15      3         5         4.93      4.93      1.3       1.3       2         0         1         4         2         3         10        0         0.198533  0.215784  0         
SmRh      1.17      2.28      62        45        5.64371   7.4589    0.162     1.14289   1.85      1.35      3         9         4.14      4.14      1.2       1.2       2         0         0         6         1         0         8         0         0.156118  0.32646   1         
CsCl      0.79      3.16      55        17        3.89391   12.96763  0.47163   3.61273   2.6       1.0       1         7         4.31      4.31      0.77      0.77      1         0         0         0         2         5         0         0         0.409842  0.862641  0         
TlBr      1.62      2.96      81        35        6.10829   11.81381  0.32005   3.36359   1.9       1.15      3         7         2.235     2.235     1.69      1.69      2         1         10        14        2         5         10        0         0.356391  0.591059  0         
LiAg      0.98      1.93      3         47        5.39171   7.57623   0.61805   1.30447   1.45      1.6       1         11        1.61      1.61      0.90      0.90      1         0         0         0         1         0         10        0         0.970114  0.93847   1         
KF        0.82      3.98      19        9         4.34066   17.42282  0.50146   3.40119   2.2       0.5       1         7         3.69      3.69      0.80      0.80      1         0         0         0         2         5         0         0         0.032474  0.634757  0         
CuN       1.9       3.04      29        7         7.72638   14.53413  1.23578   -0.07     1.35      0.65      11        5         2.04      2.04      1.08      1.08      1         0         10        0         2         3         0         0         0.431509  0.826513  0         
ReN       1.9       3.04      75        7         7.83352   14.53413  0.0604    -0.07     1.35      0.65      7         5         2.68      2.68      2.06      2.06      2         0         5         14        2         3         0         0         0.922198  0.564351  0         
OsC       2.2       2.55      76        6         8.43823   11.26029  1.0778    1.26211   1.3       0.7       8         4         2.65      2.65      1.85      1.85      2         0         6         14        2         2         0         0         0.635194  0.254464  0         
CeHg      1.12      2.0       58        80        5.5386    10.4375   0.572     -0.52     1.85      1.5       3         12        4.50      4.50      1.1       1.1       2         0         1         1         2         0         10        14        0.801091  0.308181  0         
ZrPt      1.33      2.28      40        78        6.63413   8.95883   0.43329   2.12511   1.55      1.35      4         10        2.825     2.825     1.70      1.70      2         0         2         0         1         0         9         14        0.764336  0.430065  0         
ScCu      1.36      1.9       21        29        6.56149   7.72638   0.1882    1.23578   1.6       1.35      3         11        2.75      2.75      1.50      1.50      2         0         1         0         1         0         10        0         0.381575  0.489821  0         
TcN       1.9       3.04      43        7         7.11938   14.53413  0.552     -0.07     1.35      0.65      7         5         2.65      2.65      2.18      2.18      2         0         5         0         2         3         0         0         0.230123  0.231293  0         
GeTe      2.01      2.1       32        52        7.89944   9.00981   1.23268   1.97088   1.25      1.4       4         6         1.56      1.56      1.99      1.99      2         2         10        0         2         4         10        0         0.0933    0.328681  0         
NaH       0.93      2.2       11        1         5.13908   13.59843  0.54793   0.7546    1.8       0.25      1         1         2.65      2.65      0.89      0.89      1         0         0         0         1         0         0         0         0.05173   0.443983  0         
LiTl      0.98      1.62      3         81        5.39171   6.10829   0.61805   0.32005   1.45      1.9       1         3         1.61      1.61      0.90      0.90      1         0         0         0         2         1         10        14        0.673915  0.99446   0         
BaZn      0.89      1.65      56        30        5.21166   9.3942    0.14463   -0.62     2.15      1.35      2         12        3.402     3.402     1.08      1.08      2         0         0         0         2         0         10        0         0.666777  0.160962  0         
InRh      1.78      2.28      49        45        5.78636   7.4589    0.38393   1.14289   1.55      1.35      3         9         2.05      2.05      1.63      1.63      2         1         10        0         1         0         8         0         0.734744  0.629715  0         
CeCd      1.12      1.69      58        48        5.5386    8.99382   0.572     -0.72     1.85      1.55      3         12        4.50      4.50      1.1       1.1       2         0         1         1         2         0         10        0         0.083154  0.977343  1         
TiNi      1.54      1.91      22        28        6.82812   7.63988   0.07555   1.15716   1.4       1.35      4         10        2.58      2.58      1.86      1.86      2         0         2         0         2         0         8         0         0.343327  0.642724  0         
AlRh      1.61      2.28      13        45        5.98577   7.4589    0.43284   1.14289   1.25      1.35      3         9         1.675     1.675     1.64      1.64      2         1         0         0         1         0         8         0         0.656314  0.186714  0         
SrCd      0.95      1.69      38        48        5.69487   8.99382   0.05207   -0.72     2.0       1.55      2         12        3.21      3.21      1.13      1.13      2         0         0         0         2         0         10        0         0.77142   0.319881  0         
NdTl      1.14      1.62      60        81        5.525     6.10829   0.09749   0.32005   1.85      1.9       3         3         3.99      3.99      1.2       1.2       2         0         0         4         2         1         10        14        0.975445  0.495579  0         
TaN       1.5       3.04      73        7         7.54957   14.53413  0.32312   -0.07     1.45      0.65      5         5         2.79      2.79      1.94      1.94      2         0         3         14        2         3         0         0         0.267065  0.085914  0         
TmTl      1.25      1.62      69        81        6.18431   6.10829   1.02922   0.32005   1.75      1.9       3         3         3.60      3.60      1.2       1.2       2         0         0         13        2         1         10        14        0.481735  0.490949  0         
TiRu      1.54      2.2       22        44        6.82812   7.3605    0.07555   1.04638   1.4       1.3       4         8         2.58      2.58      1.86      1.86      2         0         2         0         1         0         7         0         0.066054  0.867924  1         
SiRu      1.9       2.2       14        44        8.15168   7.3605    1.38952   1.04638   1.1       1.3       4         8         1.42      1.42      1.98      1.98      2         2         0         0         1         0         7         0         0.437782  0.970392  0         
LuRh      1.27      2.28      71        45        5.42587   7.4589    0.23887   1.14289   1.75      1.35      3         9         3.37      3.37      1.2       1.2       2         0         1         14        1         0         8         0         0.799014  0.701229  1         
AgBr      1.93      2.96      47        35        7.57623   11.81381  1.30447   3.36359   1.6       1.15      11        7         2.375     2.375     1.07      1.07      1         0         10        0         2         5         10        0         0.203137  0.469818  0         
LaN       1.1       3.04      57        7         5.5769    14.53413  0.55755   -0.07     1.95      0.65      3         5         3.08      3.08      1.35      1.35      2         0         1         0         2         3         0         0         0.395601  0.091317  1         
ErP       1.24      2.19      68        15        6.1077    10.48669  0.312     0.74661   1.75      1.0       3         5         3.63      3.63      1.2       1.2       2         0         0         12        2         3         0         0         0.771536  0.73456   0         
CsH       0.79      2.2       55        1         3.89391   13.59843  0.47163   0.7546    2.6       0.25      1         1         4.31      4.31      0.77      0.77      1         0         0         0         1         0         0         0         0.095922  0.489286  0         
LuAs      1.27      2.18      71        33        5.42587   9.78855   0.23887   0.80482   1.75      1.15      3         5         3.37      3.37      1.2       1.2       2         0         1         14        2         3         10        0         0.478649  0.997229  0         
SrHg      0.95      2.0       38        80        5.69487   10.4375   0.05207   -0.52     2.0       1.5       2         12        3.21      3.21      1.13      1.13      2         0         0         0         2         0         10        14        0.981001  0.159931  0         
TmIr      1.25      2.2       69        77        6.18431   8.96702   1.02922   1.56436   1.75      1.35      3         9         3.60      3.60      1.2       1.2       2         0         0         13        2         0         7         14        0.696735  0.48907   1         
DyAu      1.22      2.54      66        79        5.93905   9.22555   0.352     2.30861   1.75      1.35      3         11        3.67      3.67      1.15      1.15      2         0         0         10        1         0         10        14        0.223327  0.991697  0         
BeNi      1.57      1.91      4         28        9.3227    7.63988   -0.52     1.15716   1.05      1.35      2         10        1.08      1.08      1.45      1.45      2         0         0         0         2         0         8         0         0.254363  0.551851  1         
WC        2.36      2.55      74        6         7.86403   11.26029  0.81627   1.26211   1.35      0.7       6         4         2.735     2.735     1.79      1.79      2         0         4         14        2         2         0         0         0.309621  0.948829  0         
GaAg      1.81      1.93      31        47        5.9993    7.57623   0.3012    1.30447   1.3       1.6       3         11        1.695     1.695     1.70      1.70      2         1         10        0         1         0         10        0         0.720248  0.568624  1         
HoAs      1.23      2.18      67        33        6.0215    9.78855   0.338     0.80482   1.75      1.15      3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         10        0         0.817034  0.653362  0         
SrMg      0.95      1.31      38        12        5.69487   7.64624   0.05207   -0.42     2.0       1.5       2         2         3.21      3.21      1.13      1.13      2         0         0         0         2         0         0         0         0.030959  0.425642  0         
HoCu      1.23      1.9       67        29        6.0215    7.72638   0.338     1.23578   1.75      1.35      3         11        3.65      3.65      1.2       1.2       2         0         0         11        1         0         10        0         0.116725  0.071895  0         
TbAl      1.1       1.61      65        13        5.8638    5.98577   0.13132   0.43284   1.75      1.25      3         3         3.89      3.89      1.2       1.2       2         0         0         9         2         1         0         0         0.468136  0.805607  1         
PbS       2.33      2.58      82        16        7.41668   10.36001  0.35672   2.0771    1.8       1.0       4         6         2.09      2.09      1.92      1.92      2         2         10        14        2         4         0         0         0.424614  0.001427  1         
BrN       2.96      3.04      35        7         11.81381  14.53413  3.36359   -0.07     1.15      0.65      7         5         1.20      1.20      2.83      2.83      2         5         10        0         2         3         0         0         0.261187  0.241233  0         
ScN       1.36      3.04      21        7         6.56149   14.53413  0.1882    -0.07     1.6       0.65      3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         0         0         0.377686  0.620683  0         
VN        1.63      3.04      23        7         6.74619   14.53413  0.52766   -0.07     1.35      0.65      5         5         2.43      2.43      2.22      2.22      2         0         3         0         2         3         0         0         0.490281  0.38972   0         
NCl       3.04      3.16      7         17        14.53413  12.96763  -0.07     3.61273   0.65      1.0       5         7         0.54      0.54      2.85      2.85      2         3         0         0         2         5         0         0         0.93368   0.978559  0         
KCl       0.82      3.16      19        17        4.34066   12.96763  0.50146   3.61273   2.2       1.0       1         7         3.69      3.69      0.80      0.80      1         0         0         0         2         5         0         0         0.333114  0.056068  0         
AlRe      1.61      1.9       13        75        5.98577   7.83352   0.43284   0.0604    1.25      1.35      3         7         1.675     1.675     1.64      1.64      2         1         0         0         2         0         5         14        0.854808  0.724394  0         
HoAg      1.23      1.93      67        47        6.0215    7.57623   0.338     1.30447   1.75      1.6       3         11        3.65      3.65      1.2       1.2       2         0         0         11        1         0         10        0         0.791239  0.759854  0         
TbAu      1.1       2.54      65        79        5.8638    9.22555   0.13132   2.30861   1.75      1.35      3         11        3.89      3.89      1.2       1.2       2         0         0         9         1         0         10        14        0.018992  0.155064  0         
TbCu      1.1       1.9       65        29        5.8638    7.72638   0.13132   1.23578   1.75      1.35      3         11        3.89      3.89      1.2       1.2       2         0         0         9         1         0         10        0         0.770882  0.510041  0         
ErIr      1.24      2.2       68        77        6.1077    8.96702   0.312     1.56436   1.75      1.35      3         9         3.63      3.63      1.2       1.2       2         0         0         12        2         0         7         14        0.915452  0.592656  1         
VTc       1.63      1.9       23        43        6.74619   7.11938   0.52766   0.552     1.35      1.35      5         7         2.43      2.43      2.22      2.22      2         0         3         0         2         0         5         0         0.711676  0.856838  0         
YbCd      1.1       1.69      70        48        6.25416   8.99382   -0.02     -0.72     1.75      1.55      3         12        3.59      3.59      1.1       1.1       2         0         0         14        2         0         10        0         0.551702  0.697148  0         
DyCu      1.22      1.9       66        29        5.93905   7.72638   0.352     1.23578   1.75      1.35      3         11        3.67      3.67      1.15      1.15      2         0         0         10        1         0         10        0         0.096114  0.640972  0         
MnV       1.55      1.63      25        23        7.43404   6.74619   -0.52     0.52766   1.4       1.35      7         5         2.22      2.22      2.04      2.04      2         0         5         0         2         0         3         0         0.959301  0.02797   1         
NdAg      1.14      1.93      60        47        5.525     7.57623   0.09749   1.30447   1.85      1.6       3         11        3.99      3.99      1.2       1.2       2         0         0         4         1         0         10        0         0.823952  0.126529  0         
SrTe      0.95      2.1       38        52        5.69487   9.00981   0.05207   1.97088   2.0       1.4       2         6         3.21      3.21      1.13      1.13      2         0         0         0         2         4         10        0         0.817851  0.321614  0         
BaSe      0.89      2.55      56        34        5.21166   9.75239   0.14463   2.0206    2.15      1.15      2         6         3.402     3.402     1.08      1.08      2         0         0         0         2         4         10        0         0.561327  0.869855  0         
CaCd      1.0       1.69      20        48        6.11316   8.99382   0.02455   -0.72     1.8       1.55      2         12        3.00      3.00      1.17      1.17      2         0         0         0         2         0         10        0         0.693638  0.967116  0         
AlIr      1.61      2.2       13        77        5.98577   8.96702   0.43284   1.56436   1.25      1.35      3         9         1.675     1.675     1.64      1.64      2         1         0         0         2         0         7         14        0.471187  0.537769  1         
BaTe      0.89      2.1       56        52        5.21166   9.00981   0.14463   1.97088   2.15      1.4       2         6         3.402     3.402     1.08      1.08      2         0         0         0         2         4         10        0         0.134366  0.676297  1         
PrTl      1.13      1.62      59        81        5.4702    6.10829   0.10923   0.32005   1.85      1.9       3         3         4.48      4.48      1.1       1.1       2         0         0         3         2         1         10        14        0.384038  0.589217  0         
ErAg      1.24      1.93      68        47        6.1077    7.57623   0.312     1.30447   1.75      1.6       3         11        3.63      3.63      1.2       1.2       2         0         0         12        1         0         10        0         0.958017  0.798769  0         
ThTe      1.3       2.1       90        52        6.3067    9.00981   1.17      1.97088   1.8       1.4       3         6         4.98      4.98      1.3       1.3       2         0         2         0         2         4         10        0         0.220812  0.266535  0         
