formula   X_a0      X_b1      Z_a2      Z_b3      IE_a4     IE_b5     EA_a6     EA_b7     r_A8      r_B9      vale_A10  vale_B11  cr.r_A12  cr.r_B13  mb.x_A14  mb.x_B15  s_A16     p_A17     d_A18     f_A19     s_B20     p_B21     d_B22     f_B23     topoY     
TbP       1.1       2.19      65        15        5.8638    10.48669  0.13132   0.74661   1.75      1.0       3         5         3.89      3.89      1.2       1.2       2         0         0         9         2         3         0         0         1         
TmBi      1.25      2.02      69        83        6.18431   7.28552   1.02922   0.94236   1.75      1.6       3         5         3.60      3.60      1.2       1.2       2         0         0         13        2         3         10        14        1         
NaI       0.93      2.66      11        53        5.13908   10.45126  0.54793   3.05905   1.8       1.4       1         7         2.65      2.65      0.89      0.89      1         0         0         0         2         5         10        0         0         
NaCl      0.93      3.16      11        17        5.13908   12.96763  0.54793   3.61273   1.8       1.0       1         7         2.65      2.65      0.89      0.89      1         0         0         0         2         5         0         0         0         
HRh       2.2       2.28      1         45        13.59843  7.4589    0.7546    1.14289   0.25      1.35      1         9         1.25      1.25      2.10      2.10      1         0         0         0         1         0         8         0         0         
PrP       1.13      2.19      59        15        5.4702    10.48669  0.10923   0.74661   1.85      1.0       3         5         4.48      4.48      1.1       1.1       2         0         0         3         2         3         0         0         1         
ScSb      1.36      2.05      21        51        6.56149   8.60839   0.1882    1.0474    1.6       1.45      3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         10        0         1         
SnC       1.96      2.55      50        6         7.34392   11.26029  1.11207   1.26211   1.45      0.7       4         4         1.88      1.88      1.88      1.88      2         2         10        0         2         2         0         0         0         
CsCl      0.79      3.16      55        17        3.89391   12.96763  0.47163   3.61273   2.6       1.0       1         7         4.31      4.31      0.77      0.77      1         0         0         0         2         5         0         0         0         
CuBr      1.9       2.96      29        35        7.72638   11.81381  1.23578   3.36359   1.35      1.15      11        7         2.04      2.04      1.08      1.08      1         0         10        0         2         5         10        0         0         
VH        1.63      2.2       23        1         6.74619   13.59843  0.52766   0.7546    1.35      0.25      5         1         2.43      2.43      2.22      2.22      2         0         3         0         1         0         0         0         1         
TlF       1.62      3.98      81        9         6.10829   17.42282  0.32005   3.40119   1.9       0.5       3         7         2.235     2.235     1.69      1.69      2         1         10        14        2         5         0         0         0         
TcB       1.9       2.04      43        5         7.11938   8.29802   0.552     0.27972   1.35      0.85      7         3         2.65      2.65      2.18      2.18      2         0         5         0         2         1         0         0         0         
AuN       2.54      3.04      79        7         9.22555   14.53413  2.30861   -0.07     1.35      0.65      11        5         2.66      2.66      1.19      1.19      1         0         10        14        2         3         0         0         0         
CsH       0.79      2.2       55        1         3.89391   13.59843  0.47163   0.7546    2.6       0.25      1         1         4.31      4.31      0.77      0.77      1         0         0         0         1         0         0         0         0         
AlN       1.61      3.04      13        7         5.98577   14.53413  0.43284   -0.07     1.25      0.65      3         5         1.675     1.675     1.64      1.64      2         1         0         0         2         3         0         0         0         
YP        1.22      2.19      39        15        6.21726   10.48669  0.30712   0.74661   1.8       1.0       3         5         2.94      2.94      1.41      1.41      2         0         1         0         2         3         0         0         0         
InP       1.78      2.19      49        15        5.78636   10.48669  0.38393   0.74661   1.55      1.0       3         5         2.05      2.05      1.63      1.63      2         1         10        0         2         3         0         0         0         
KH        0.82      2.2       19        1         4.34066   13.59843  0.50146   0.7546    2.2       0.25      1         1         3.69      3.69      0.80      0.80      1         0         0         0         1         0         0         0         0         
HoP       1.23      2.19      67        15        6.0215    10.48669  0.338     0.74661   1.75      1.0       3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         0         0         1         
PrAs      1.13      2.18      59        33        5.4702    9.78855   0.10923   0.80482   1.85      1.15      3         5         4.48      4.48      1.1       1.1       2         0         0         3         2         3         10        0         1         
DyP       1.22      2.19      66        15        5.93905   10.48669  0.352     0.74661   1.75      1.0       3         5         3.67      3.67      1.15      1.15      2         0         0         10        2         3         0         0         1         
KBr       0.82      2.96      19        35        4.34066   11.81381  0.50146   3.36359   2.2       1.15      1         7         3.69      3.69      0.80      0.80      1         0         0         0         2         5         10        0         0         
KCl       0.82      3.16      19        17        4.34066   12.96763  0.50146   3.61273   2.2       1.0       1         7         3.69      3.69      0.80      0.80      1         0         0         0         2         5         0         0         0         
NaH       0.93      2.2       11        1         5.13908   13.59843  0.54793   0.7546    1.8       0.25      1         1         2.65      2.65      0.89      0.89      1         0         0         0         1         0         0         0         0         
ScN       1.36      3.04      21        7         6.56149   14.53413  0.1882    -0.07     1.6       0.65      3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         0         0         0         
NaB       0.93      2.04      11        5         5.13908   8.29802   0.54793   0.27972   1.8       0.85      1         3         2.65      2.65      0.89      0.89      1         0         0         0         2         1         0         0         1         
DyAs      1.22      2.18      66        33        5.93905   9.78855   0.352     0.80482   1.75      1.15      3         5         3.67      3.67      1.15      1.15      2         0         0         10        2         3         10        0         1         
NdSb      1.14      2.05      60        51        5.525     8.60839   0.09749   1.0474    1.85      1.45      3         5         3.99      3.99      1.2       1.2       2         0         0         4         2         3         10        0         1         
HoN       1.23      3.04      67        7         6.0215    14.53413  0.338     -0.07     1.75      0.65      3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         0         0         0         
HoAs      1.23      2.18      67        33        6.0215    9.78855   0.338     0.80482   1.75      1.15      3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         10        0         1         
PmN       1.13      3.04      61        7         5.58187   14.53413  0.129     -0.07     1.85      0.65      3         5         3.99      3.99      1.15      1.15      2         0         0         5         2         3         0         0         1         
KB        0.82      2.04      19        5         4.34066   8.29802   0.50146   0.27972   2.2       0.85      1         3         3.69      3.69      0.80      0.80      1         0         0         0         2         1         0         0         1         
WC        2.36      2.55      74        6         7.86403   11.26029  0.81627   1.26211   1.35      0.7       6         4         2.735     2.735     1.79      1.79      2         0         4         14        2         2         0         0         1         
ScP       1.36      2.19      21        15        6.56149   10.48669  0.1882    0.74661   1.6       1.0       3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         0         0         0         
CaO       1.0       3.44      20        8         6.11316   13.61806  0.02455   1.46111   1.8       0.6       2         6         3.00      3.00      1.17      1.17      2         0         0         0         2         4         0         0         0         
YAs       1.22      2.18      39        33        6.21726   9.78855   0.30712   0.80482   1.8       1.15      3         5         2.94      2.94      1.41      1.41      2         0         1         0         2         3         10        0         1         
TcN       1.9       3.04      43        7         7.11938   14.53413  0.552     -0.07     1.35      0.65      7         5         2.65      2.65      2.18      2.18      2         0         5         0         2         3         0         0         1         
