formula     mp_id       data        prediction  
ThO2        mp-1102569  -1          0           1
ScSiPd      mp-1102080  -1          1           1
TmGeRu      mp-20888    0           0           1
BiSeBr      mp-569707   0           0           1
NaCaN       mp-1247165  -1          0           1
ScGeRh      mp-1095247  0           1           1
PrNiSn      mp-22164    0           0           1
BaMgSi      mp-1103039  -1          0           1
KNiN        mp-1245791  -1          0           1
YNiGe       mp-1103655  -1          0           1
KPbN        mp-1246354  -1          0           1
Rb2Te       mp-1397     0           0           1
TiP2        mp-20327    1           1           1
TmZnPd      mp-1103059  -1          0           1
NdGaNi      mp-1103550  -1          1           1
Nb2C        mp-569989   1           1           1
TmAlRh      mp-568685   0           0           1
LaNiSn      mp-12613    0           0           1
NbNiGe      mp-1101995  -1          1           1
ErGeIr      mp-21153    0           0           1
LuGeIr      mp-10999    0           0           1
MgAuN       mp-1245755  -1          0           1
YbMgPd      mp-11098    1           1           1
TiO2        mp-754672   -1          0           1
SmSiPd      mp-1103066  -1          1           1
CaAlPt      mp-1102631  -1          1           1
Ba2Ge       mp-13922    1           0           1
Er2Au       mp-1102972  -1          0           1
HfSiW       mp-1102732  -1          1           1
LuGaPd      mp-1103238  -1          1           1
HfSiMo      mp-22258    0           0           1
LuCoSn      mp-1102047  -1          0           1
ZrCrSi      mp-1102132  -1          0           1
ErAsSe      mp-1213048  -1          0           1
SrIBr       mp-1218278  -1          0           1
LuGaNi      mp-1102758  -1          0           1
SmBiRh      mp-570890   0           0           1
Tb2Al       mp-1103391  -1          0           1
YbSiPd      mp-1207493  -1          1           1
HfSiPd      mp-10457    1           1           1
ZrSiPd      mp-1103414  -1          1           1
MgGaN       mp-1245871  -1          0           1
KMgN        mp-1245693  -1          0           1
ErSbRh      mp-1213025  -1          0           1
NiTePd      mp-569511   1           1           1
ScSiIr      mp-1095563  1           1           1
NbGePt      mp-1103346  -1          1           1
Rb2S        mp-1102384  -1          0           1
YbGaPt      mp-864912   0           0           1
SmAsS       mp-1102762  -1          1           1
TaCoGe      mp-1095502  1           1           1
NaNiN       mp-1029466  -1          0           1
NdAlAu      mp-1101773  -1          1           1
Mg2Si       mp-1074738  -1          0           1
CsCuN       mp-1246756  -1          0           1
MgCuP       mp-7352     0           0           1
MoPRh       mp-1103150  -1          1           1
SrCaPb      mp-21166    0           0           1
LiYbAs      mp-1095274  0           0           1
NbPRu       mp-1103310  -1          1           1
Ca2Sn       mp-22735    0           0           1
Sr2Ge       mp-2576     0           0           1
TlPd2       mp-1101944  -1          0           1
BiSBr       mp-23324    0           0           1
TbGeIr      mp-22755    0           0           1
HoAlPt      mp-1103032  -1          1           1
TiSiPt      mp-1102195  -1          1           1
HfGeMo      mp-1095449  0           0           1
SrInPd      mp-1095684  0           1           1
SmSbIr      mp-11160    0           0           1
SnCl2       mp-569152   0           0           1
MgCuN       mp-1246792  -1          0           1
NaSnAu      mp-11253    1           1           1
HfSbPd      mp-1212193  -1          0           1
YGaPd       mp-1101849  -1          0           1
LuGaPt      mp-1102327  -1          0           1
ZrSiAs      mp-1207382  -1          0           1
SmSnPt      mp-21161    0           0           1
NbCoSi      mp-1095573  1           1           1
AlPd2       mp-2824     0           0           1
LaTeAs      mp-10383    0           0           1
TlAgSe      mp-29238    0           0           1
SnBr2       mp-29862    0           0           1
SrH2        mp-23714    0           0           1
LiYbBi      mp-1095265  1           0           1
KNaTe       mp-8755     0           0           1
TaSiIr      mp-21316    1           1           1
NaSrN       mp-1245463  -1          0           1
PrGaCo      mp-623261   0           0           1
CsLiO       mp-1178393  -1          0           1
TiS2        mp-1101969  -1          1           1
ErSbIr      mp-1213011  -1          0           1
DyAsPd      mp-1102068  -1          0           1
Ag2Se       mp-2022604  -1          0           1
NdNiSn      mp-20490    0           0           1
DyGaPt      mp-1095583  1           0           1
SrMgSn      mp-30780    0           0           1
LiCaSb      mp-16264    0           0           1
CsMgN       mp-1245941  -1          0           1
Lu2Au       mp-1101816  -1          0           1
SrLiSb      mp-7756     0           0           1
VNiP        mp-1103470  -1          1           1
HoSiIr      mp-22222    1           1           1
YGeIr       mp-1102373  -1          0           1
CaAlAu      mp-568424   1           1           1
NbSiPt      mp-10469    0           1           1
CoPW        mp-1102504  -1          1           1
LuCoGe      mp-1103331  -1          0           1
TmAlPt      mp-1095579  1           1           1
LiYbSb      mp-1095371  0           0           1
TiNiAs      mp-1102086  -1          1           1
DyAlAu      mp-1102191  -1          1           1
BiSeI       mp-23020    0           0           1
YAsSe       mp-1095603  1           1           1
HoAlAu      mp-1102992  -1          1           1
SmGaPd      mp-1102601  -1          1           1
GeRh2       mp-22585    1           1           1
TbSiIr      mp-20383    0           1           1
SbRh2       mp-21359    0           1           1
LaSeCl      mp-1102246  -1          0           1
CsZnN       mp-1247210  -1          0           1
Te2Ir       mp-569322   0           0           1
LiVN        mp-1246409  -1          0           1
SrInPt      mp-22284    0           1           1
AlPt2       mp-16526    0           0           1
TaVP        mp-1208564  -1          1           1
MgCoN       mp-1245705  -1          0           1
KZnN        mp-1029336  -1          0           1
YZnPd       mp-1095522  0           0           1
DyNiGe      mp-1102455  -1          0           1
ErSiNi      mp-1213005  -1          0           1
LiMgN       mp-30156    0           0           1
SmGaPt      mp-1102464  -1          0           1
SmNiGe      mp-1101817  -1          0           1
Ge2W        mp-1101810  -1          1           1
ErGaPt      mp-1102669  -1          0           1
ZrVP        mp-22302    0           0           1
YbMgGe      mp-542172   0           0           1
CeAlIr      mp-1102352  -1          0           1
ZrSbPd      mp-22036    0           0           1
SmSbRh      mp-1208896  -1          0           1
YbZnAu      mp-13027    0           0           1
ZrSiPt      mp-972187   1           1           1
NaMgN       mp-1245772  -1          0           1
NdAlRh      mp-1209843  -1          1           1
YGeRh       mp-1095465  1           0           1
TmGePt      mp-1102110  -1          0           1
YbAlPt      mp-1102117  -1          1           1
LaZnPd      mp-1102763  -1          0           1
BiSeCl      mp-610491   0           0           1
NbSiRh      mp-10470    1           1           1
ErGaPd      mp-31387    1           1           1
SbSeI       mp-22996    0           0           1
TiNiGe      mp-16356    1           1           1
Cs2S        mp-540703   0           0           1
ZrCuSn      mp-1101867  -1          0           1
ErAlPt      mp-1102457  -1          1           1
ErNiSn      mp-622620   0           0           1
PrNiGe      mp-1103115  -1          0           1
Na2S        mp-556978   0           0           1
Ba2Sn       mp-1981     0           0           1
CaAgSb      mp-11214    0           0           1
TaSiPt      mp-1208554  -1          1           1
Sc2Au       mp-1209057  -1          0           1
PrGeRh      mp-1095680  1           0           1
ErZnPt      mp-1102795  -1          0           1
ZrO2        mp-755089   -1          0           1
GaPd2       mp-1869     0           0           1
ZrO2        mp-755759   -1          0           1
CuAgS       mp-5014     -1          0           1
NbVP        mp-1102537  -1          1           1
YbAlPd      mp-569338   0           1           1
YGePt       mp-1095607  0           0           1
SrCdAu      mp-1095513  0           0           1
CeAs2       mp-1101892  -1          0           1
ScCoSi      mp-1103034  -1          0           1
CaSiPt      mp-8983     1           1           1
Y2Pt        mp-1102657  -1          0           1
Pr2Au       mp-2714     0           0           1
TaGeRh      mp-972224   1           1           1
ZrNbP       mp-4500     1           1           1
Ho2Al       mp-16502    0           0           1
TbZnRh      mp-13378    1           1           1
HoAlRh      mp-1212088  -1          0           1
TiCuGe      mp-1102042  -1          0           1
YbGeIr      mp-568672   0           0           1
Sr2Pd       mp-1102131  -1          1           1
KNaSe       mp-28595    0           0           1
LuGeRu      mp-22051    0           0           1
Y2Al        mp-11230    -1          0           1
SmGeRu      mp-20655    0           0           1
SrMgPt      mp-1103033  -1          1           1
YbGaNi      mp-1095431  0           1           1
SrCaSn      mp-20726    0           0           1
TiGePd      mp-20268    1           1           1
NdBr2       mp-1210109  -1          0           1
Cs2Se       mp-1011696  0           0           1
RbZnN       mp-1245885  -1          0           1
NbGeIr      mp-22287    1           1           1
CaH2        mp-23713    0           0           1
TmCoSn      mp-1103069  -1          0           1
PrAlPt      mp-570042   1           1           1
BiOF        mp-753160   -1          0           1
Sr2Sn       mp-978      0           0           1
YAlPd       mp-1095464  1           1           1
CaInRh      mp-20220    1           0           1
SrLiBi      mp-30456    0           0           1
PrAsS       mp-1101752  -1          0           1
LiCuS       mp-753508   -1          0           1
HoNiSn      mp-31176    0           0           1
ScSiNi      mp-22426    0           0           1
BiOF        mp-759825   -1          0           1
YbGaPd      mp-1102228  -1          1           1
LiCaP       mp-1211088  -1          0           1
BiOF        mp-753360   -1          0           1
DyNiSn      mp-510152   0           0           1
TbSiPt      mp-7124     0           0           1
TiSiRu      mp-505822   1           0           1
ErGePt      mp-13579    0           0           1
NbCoP       mp-21449    -1          1           1
YbNiSn      mp-22162    1           0           1
Ca2In       mp-20669    0           0           1
TbAsSe      mp-1102476  -1          0           1
YSeF        mp-1187888  -1          0           1
H2W         mp-1095432  1           0           1
YbPPd       mp-1207514  -1          1           1
TbAsPd      mp-1101946  -1          0           1
Sm2Au       mp-1103633  -1          0           1
ErGeRu      mp-19841    0           0           1
TbAlAu      mp-1095572  0           1           1
HgCl2       mp-22855    0           0           1
SmSbS       mp-1103612  -1          1           1
NbSiPd      mp-22722    0           1           1
SrBr2       mp-567744   0           0           1
TbGeRu      mp-21310    0           0           1
HoGeIr      mp-21073    0           0           1
Ca2Ge       mp-304      0           0           1
Rb2Te       mp-568745   -1          0           1
KRbS        mp-28760    0           0           1
SrMgSi      mp-15642    0           0           1
SnPd2       mp-1851     1           0           1
CeGaIr      mp-1213791  -1          0           1
YbZnRh      mp-1207475  -1          1           1
ZnPd2       mp-1103252  -1          0           1
DyGaPd      mp-22129    1           1           1
YbAlAu      mp-12784    1           1           1
LuSiRu      mp-754955   -1          0           1
CaSnPd      mp-30437    1           0           1
TmSiIr      mp-1207675  -1          1           1
TeO2        mp-1102087  -1          0           1
PrAlAu      mp-1101978  -1          1           1
SmAlAu      mp-1102449  -1          1           1
Ca2Si       mp-2517     0           0           1
N2O         mp-1180473  -1          0           1
SrLiAs      mp-1101989  -1          0           1
VNiAs       mp-1101976  -1          1           1
YbInRh      mp-11102    1           1           1
SnIBr       mp-1208879  -1          0           1
TbGePt      mp-22324    0           0           1
TmGaPd      mp-1103022  -1          1           1
ScCuSi      mp-20083    1           1           1
Ba2Si       mp-9905     1           0           1
LiPbN       mp-1247389  -1          0           1
HoGaPt      mp-1102757  -1          0           1
DySbIr      mp-1212836  -1          0           1
NdSbSe      mp-1103651  -1          0           1
Ba2In       mp-1102396  -1          0           1
TmSiRu      mp-20308    0           0           1
LiPtN       mp-1245573  -1          0           1
YGaIr       mp-1103280  -1          0           1
SrMgGe      mp-15643    0           0           1
NdAlPt      mp-568130   1           1           1
TaFeP       mp-21336    1           1           1
CaCl2       mp-571627   0           0           1
CaF2        mp-10464    0           0           1
CeSe2       mp-1080307  -1          0           1
Ca2Cu       mp-12614    0           0           1
TmPPd       mp-1207674  -1          1           1
LaTeCl      mp-1103189  -1          0           1
YbSiPt      mp-1102866  -1          0           1
SrSnPt      mp-20001    1           1           1
DyGeIr      mp-21323    0           0           1
CuAsS       mp-5305     0           0           1
TmSbIr      mp-1207694  -1          0           1
LuGeRh      mp-20610    0           0           1
RbNiN       mp-1246401  -1          0           1
YbSbS       mp-1102028  -1          1           1
HfVP        mp-1095442  0           0           1
ZrO2        mp-963      0           0           1
LiBH        mp-23694    0           0           1
YSiPt       mp-1103176  -1          1           1
PbF2        mp-2511     0           0           1
PrGeIr      mp-1103320  -1          0           1
LaAlAu      mp-1101778  -1          1           1
NbNiP       mp-20932    1           1           1
NdBiRh      mp-1210131  -1          0           1
SrBrCl      mp-1208676  -1          0           1
LuNiSn      mp-977588   0           0           1
YbH2        mp-864603   0           0           1
YbMgAg      mp-1207550  -1          1           1
ScSiRh      mp-20492    0           0           1
TbNiGe      mp-21424    0           0           1
AlAu2       mp-569558   0           0           1
BaCl2       mp-23199    -1          0           1
DySiRu      mp-19873    0           0           1
SnO2        mp-562610   0           0           1
TlCdSb      mp-7379     0           0           1
ScPPt       mp-12480    1           1           1
YbNiGe      mp-1102907  -1          0           1
HoNiGe      mp-542171   0           0           1
HfCoAs      mp-9801     1           1           1
Yb2In       mp-581760   0           0           1
NdGeIr      mp-1103641  -1          0           1
LaAlPt      mp-1103109  -1          1           1
YbSnPd      mp-3204     1           0           1
HfSiPt      mp-10456    1           1           1
PrSbIr      mp-1209285  -1          0           1
TmZnRh      mp-1207955  -1          1           1
HoSnPd      mp-11764    0           0           1
TmGeRh      mp-22794    0           0           1
SrInAu      mp-22529    1           1           1
Yb2Tl       mp-569605   0           0           1
BRh2        mp-21502    0           0           1
BiSI        mp-23514    0           0           1
Ho2Au       mp-30385    0           0           1
KCdN        mp-1247196  -1          0           1
CaPtPb      mp-1103307  -1          0           1
HoGaNi      mp-11442    1           0           1
LuSiIr      mp-22440    1           1           1
HfNbP       mp-22637    1           1           1
CsNiN       mp-1245581  -1          0           1
YbZnPt      mp-13026    1           0           1
CaMgSi      mp-5473     0           0           1
HoSbRh      mp-1212118  -1          0           1
YAlPt       mp-1095478  1           0           1
HfCoP       mp-1095427  1           1           1
Ba2Pd       mp-1103028  -1          1           1
NbPRh       mp-1101948  -1          1           1
ZrNiGe      mp-1102687  -1          0           1
TmAlPd      mp-1095667  1           1           1
SrCdGe      mp-1101809  -1          1           1
TaFeAs      mp-1095668  1           1           1
NdAsS       mp-1101764  -1          1           1
CaGaPt      mp-31152    0           1           1
TaNiP       mp-1102041  -1          1           1
MgNiGe      mp-1102387  -1          0           1
Dy2Au       mp-1103411  -1          0           1
NdSnPd      mp-22695    0           0           1
LuSiPt      mp-1101919  -1          1           1
ZrGeMo      mp-1102693  -1          1           1
